,goal_difference,is_home,n_prev_passes,minute,distance,angle,angular_pressure,abs_goal_diff,defenders_in_5m,gk_distance,goal
goal_difference,1.0,0.13162601754427147,-0.002363836138235714,0.00548178597022779,-0.09896897058579429,0.0818659413189342,-0.05110981601193206,0.22906331450773584,-0.04081294469139237,-0.08541988548736343,0.28367533756522845
is_home,0.13162601754427147,1.0,0.0035235813438581967,-0.00014195091960177264,-0.019798640301283515,0.013662398366503533,-0.010506582162257685,0.012026008786936042,0.0015436893210537593,-0.018924627041817264,0.019884643516797258
n_prev_passes,-0.002363836138235714,0.0035235813438581967,1.0,-0.0026082175019678596,-0.16520147635686386,0.14581079918970408,0.029026154460933727,-0.0034880665033479577,0.08810025591784507,-0.20592101286664566,-0.02679215825328989
minute,0.00548178597022779,-0.00014195091960177264,-0.0026082175019678596,1.0,-0.002670797966657574,0.004600411988089402,0.0035103191563133494,0.19911978497934235,0.0061460715103603784,-0.0153359440843257,-0.004310044557571418
distance,-0.09896897058579429,-0.019798640301283515,-0.16520147635686386,-0.002670797966657574,1.0,-0.7428820241595255,-0.1930008179337715,-0.05722162804542944,-0.40292816319536695,0.8343733807655549,-0.25097492487186723
angle,0.0818659413189342,0.013662398366503533,0.14581079918970408,0.004600411988089402,-0.7428820241595255,1.0,0.1265493287778332,0.04910125903538606,0.3862165599641811,-0.5684720538413218,0.299640402240395
angular_pressure,-0.05110981601193206,-0.010506582162257685,0.029026154460933727,0.0035103191563133494,-0.1930008179337715,0.1265493287778332,1.0,-0.03505845647553872,0.2932564616863054,-0.18001416203318943,-0.07854549721542949
abs_goal_diff,0.22906331450773584,0.012026008786936042,-0.0034880665033479577,0.19911978497934235,-0.05722162804542944,0.04910125903538606,-0.03505845647553872,1.0,-0.027928660018408137,-0.045519517261522265,0.1898504510162365
defenders_in_5m,-0.04081294469139237,0.0015436893210537593,0.08810025591784507,0.0061460715103603784,-0.40292816319536695,0.3862165599641811,0.2932564616863054,-0.027928660018408137,1.0,-0.4110552923200901,-0.03196781547172882
gk_distance,-0.08541988548736343,-0.018924627041817264,-0.20592101286664566,-0.0153359440843257,0.8343733807655549,-0.5684720538413218,-0.18001416203318943,-0.045519517261522265,-0.4110552923200901,1.0,-0.1109300617164109
goal,0.28367533756522845,0.019884643516797258,-0.02679215825328989,-0.004310044557571418,-0.25097492487186723,0.299640402240395,-0.07854549721542949,0.1898504510162365,-0.03196781547172882,-0.1109300617164109,1.0
