feature,perm_mean_auc_drop,perm_std
goal_difference,0.14075120891371612,0.00294226171974047
angle,0.10290750553483607,0.0035400582796506937
gk_distance,0.037388269621072966,0.0020015474312124293
distance,0.03211241202624933,0.0015927041978204151
angular_pressure,0.012096329357558323,0.0012177844881209822
minute,0.007081636868670615,0.0015611733128852864
defenders_in_5m,0.006537210729883719,0.0008356976001201206
n_prev_passes,0.002079759082257648,0.0005914280093078633
abs_goal_diff,0.00035760851668404926,0.00035986156023493126
is_home,-0.0003574323437478766,0.00026738657641974195
